id,name,age,city,employment_type,monthly_income
68cc7220-8b76-4166-a3f0-56cf996c0d71,Karan Dixit,22,Hyderabad,self_employed,69404.01
1993b817-8170-4ab7-b4d4-526464718380,Upasna Pillay,29,Delhi,salaried,33889.75
e62b9250-9449-4ee0-ba1a-a7a153bd8b2b,Kashish Raman,55,Delhi,self_employed,77140.37
e4525d3e-f9bd-4ec3-87cf-6dedf8b280fa,Advay Dhillon,23,Mumbai,self_employed,142360.93
b5ff392d-114a-410d-b62e-7cd445cee6ac,Manbir Gill,35,Jaipur,salaried,32303.26
e51f9bf6-4e48-4d00-9269-ed69306af730,Atharv Kothari,56,Chennai,self_employed,41610.35
83e16c55-ec0d-4878-be77-8f2cb4ae52f9,Hamsini Bajwa,55,Pune,self_employed,148071.27
1b889cca-1846-45e8-a504-d0a9c4345979,Samar Vohra,58,Hyderabad,salaried,53301.37
f8b6636c-1335-4724-a21d-ae4802899a67,Nitara Merchant,21,Bengaluru,self_employed,35290.46
45df213d-2be9-4169-bbf0-71dead0efdba,Triveni Merchant,42,Hyderabad,self_employed,71667.46
90d588ee-394c-441c-a91f-dbae62333227,Wazir Bawa,42,Delhi,salaried,28804.62
8fe60dcf-065e-463c-8417-c6c934336eb3,Chaitanya Mangal,27,Kolkata,salaried,28771.34
dbc91ce0-2973-4f5d-8af1-82b37dba82cc,Samuel Mahajan,59,Hyderabad,self_employed,58068.21
9c9491b5-efb6-45de-b28b-a6916ba9581f,Ati Ravi,50,Jaipur,self_employed,12844.92
bc7273ca-ea70-4434-8d9d-59a794788db3,Aishani Chahal,45,Delhi,salaried,15329.6
be65bb93-4bbd-4c4d-93b1-e8ed87057e0b,Vihaan Randhawa,61,Lucknow,self_employed,33070.56
84239039-3ab2-4c8b-9242-4860b012033b,Dalaja Magar,44,Lucknow,business,29391.24
cbd59e41-328c-4341-a109-31348403690f,Panini Ghose,25,Mumbai,salaried,42494.23
ef5a5fac-ef79-4419-8994-1d97e47b7fc9,Balendra Bora,39,Delhi,self_employed,25961.84
2cf8937a-044f-40a1-8897-94d8551e4198,Akshay Chauhan,27,Pune,business,20515.31
da5aebd8-9825-4b9f-9f4b-0a28fe8e9b7f,Hritik Tailor,61,Kolkata,salaried,75570.74
ec96474b-b595-469c-975b-318f836d54e2,Jagdish Issac,43,Chennai,salaried,32438.84
dd7e1f80-e1a3-4313-b7cf-c2b9858def6a,Ucchal Shenoy,62,Delhi,self_employed,51393.64
9f71483c-d53b-4696-b23e-f611b062b23c,Warhi Thakkar,31,Jaipur,self_employed,18082.07
33ccd40a-c671-461d-90c8-ec44a119522d,Kala Chawla,31,Ahmedabad,self_employed,33487.65
336ec6e9-33b8-4571-b756-ebaeec2b59c9,Pahal Ranganathan,61,Jaipur,salaried,38386.51
313a8fe1-6e24-4065-81ee-3fd86f728d09,Michael Krishnan,41,Mumbai,salaried,20424.76
79037c07-f875-4f6c-9ffe-f27da86ef1cc,Omaja Lal,23,Kolkata,salaried,43820.15
66ee6a1d-9ee9-40ba-920e-7a4bf4069b6e,Wakeeta Tak,25,Chennai,salaried,26894.6
4a3ef400-0661-410b-9014-d43510c4b8c4,Elijah Joshi,57,Kolkata,business,56245.18
887c9bb2-a0a6-41f3-a039-c55fb2d3be83,Yamini Shenoy,52,Pune,salaried,26880.24
eba7e710-58bf-43b8-bfbd-af50ce10113f,Aarini Suri,62,Ahmedabad,business,387336.99
6b128996-d1bf-41a8-bd83-ceb087878acb,Gaurang Issac,29,Chennai,salaried,36071.25
844971ec-131c-46ee-958a-414a195dbbfc,Vasana Sethi,55,Hyderabad,self_employed,23379.21
764a4647-b7c6-44a6-ad55-2353596daa4a,Divya Khanna,48,Lucknow,self_employed,87184.46
9a1dccd1-18bf-4003-9e77-76d4be4e8931,Darsh Mander,35,Bengaluru,salaried,19723.74
4bf53518-f705-4202-a4b3-0eff1c219c0e,Chatresh Lalla,26,Mumbai,salaried,40313.1
f53a0fc3-ae9d-48e8-84e9-f62cb416e510,Mohammed Rege,30,Bengaluru,business,12535.21
2f0d768b-cab6-4b46-8ae5-68489f80d3f3,Jatin Bava,48,Lucknow,self_employed,19346.56
4160661a-5216-4267-8e33-957cb2baffe7,Ekansh Raja,45,Lucknow,salaried,40071.9
4a6cf787-cb39-408d-8d90-6dfb65d4a7ba,Gauri Kaur,54,Hyderabad,business,142147.41
9164369e-7209-4822-b276-9cdad0219b48,Samar Anne,21,Delhi,business,85325.74
a71a8683-f3ea-41e8-a612-f8185cb5a72d,Ranbir Devi,55,Hyderabad,self_employed,45208.76
15e411d4-3d89-4e5d-8059-ab8b70454658,Ekantika Chad,42,Delhi,self_employed,39704.8
9c84e9a9-5142-4767-9964-26b482e15b27,Gautam Dora,31,Ahmedabad,salaried,17339.44
7680e805-7c07-49ce-beee-1690400e0cd7,Oeshi Dara,37,Jaipur,salaried,25338.44
